0.1,0.717356091
0.2,0.999573603
0.3,0.675463181
0.4,-0.058374143
0.5,-0.756802495
0.6,-0.996164609
0.7,-0.631266638
0.8,0.116549205
0.9,0.793667864
1,0.989358247
1.1,0.584917193
1.2,-0.174326781
1.3,-0.827826469
1.4,-0.979177729
1.5,-0.536572918
1.6,0.231509825
1.7,0.859161815
1.8,0.965657777
1.9,0.486398689
2,-0.287903317
2.1,-0.887567034
2.2,-0.948844498
2.3,-0.434565622
2.4,0.343314929
2.5,0.912945251
2.6,0.928795234
2.7,0.381250492
2.8,-0.397555683
2.9,-0.935209915
3,-0.905578362
3.1,-0.326635126
3.2,0.450440594
3.3,0.954285094
3.4,0.879273062
3.5,0.270905788
3.6,-0.501789301
